wkr,anomaly,n_flags
1,-0.459,2
2,-0.653,0
3,-1.362,0
4,-0.553,0
5,-0.277,0
6,-0.701,1
7,-0.593,1
8,-0.654,0
9,-0.939,0
10,-0.544,1
11,-0.129,0
12,-1.987,0
13,-1.845,0
14,-0.356,0
15,-1.592,0
16,-1.921,1
17,-2.196,0
18,0.411,0
19,0.174,0
20,-0.309,1
21,-0.184,1
22,-0.155,1
23,0.653,2
24,-0.671,0
25,-0.984,0
26,-0.956,0
27,-0.05,0
28,0.129,0
29,-0.523,0
30,-0.72,0
31,-0.292,1
32,-0.041,1
33,-0.503,0
34,-0.456,1
35,-0.779,1
36,-0.596,1
37,-0.182,0
38,-0.41,1
39,0.546,0
40,-0.442,0
41,0.621,0
42,0.535,0
43,-0.428,1
44,-0.322,0
45,-0.668,1
46,-0.552,1
47,-0.655,0
48,0.191,0
49,0.133,3
50,-0.212,0
51,0.205,0
52,-0.715,1
53,0.224,1
54,-0.453,0
55,-1.367,0
56,-3.063,0
57,-3.302,0
58,-2.066,0
59,-3.24,0
60,-3.037,0
61,-1.705,0
62,-2.765,0
63,-3.106,0
64,-3.235,0
65,-3.633,1
66,-4.02,0
67,-4.054,0
68,-3.497,0
69,-3.613,0
70,-3.406,0
71,-1.055,0
72,-3.615,0
73,-3.808,0
74,0.876,0
75,-0.258,0
76,-0.368,0
77,0.246,0
78,-0.277,0
79,0.253,0
80,-0.1,0
81,0.547,0
82,-0.104,0
83,-0.945,0
84,-1.239,0
85,-0.151,0
86,0.35,0
87,-0.833,0
88,-0.506,0
89,-0.613,0
90,-0.375,0
91,-0.557,0
92,-0.189,0
93,-0.593,0
94,-0.221,0
95,0.165,0
96,-0.43,0
97,-0.131,0
98,-0.335,2
99,-0.407,0
100,-0.385,0
101,-0.135,0
102,-0.578,0
103,-0.226,0
104,-0.42,0
105,0.203,0
106,0.185,0
107,-0.494,0
108,0.004,0
109,-0.434,0
110,-0.29,0
111,-0.333,0
112,-0.495,0
113,-0.476,0
114,-0.84,0
115,-1.146,0
116,-0.73,0
117,-0.155,0
118,0.153,0
119,-0.813,0
120,-0.795,0
121,-0.511,0
122,-0.496,0
123,-0.362,0
124,-0.657,0
125,-0.308,0
126,-0.387,0
127,0.085,1
128,0.112,0
129,0.022,0
130,0.284,0
131,0.148,0
132,-0.258,0
133,0.585,0
134,0.349,0
135,-0.043,0
136,0.608,0
137,-1.198,0
138,-0.314,0
139,-0.506,0
140,-0.824,0
141,-0.039,0
142,-0.69,0
143,-0.704,0
144,-0.493,0
145,0.09,0
146,-0.513,1
147,-0.083,0
148,0.077,1
149,-0.731,0
150,-2.786,0
151,1.526,0
152,1.247,0
153,-1.769,0
154,-2.036,0
155,-1.773,0
156,-2.24,0
157,-1.419,1
158,-0.067,0
159,0.493,0
160,-1.837,0
161,-2.411,0
162,-2.924,0
163,-2.999,0
164,-2.63,0
165,-2.449,0
166,-0.502,1
167,0.587,0
168,-0.826,1
169,-0.563,1
170,0.658,0
171,-0.303,1
172,0.602,1
173,-0.051,0
174,-0.685,2
175,0.001,1
176,-0.938,0
177,-0.578,0
178,-0.159,0
179,-0.627,0
180,-0.275,3
181,-0.022,0
182,-0.187,0
183,-0.628,0
184,-0.237,0
185,-0.259,0
186,-0.651,0
187,-0.659,0
188,-0.386,0
189,0.175,0
190,1.919,0
191,-0.384,0
192,-0.226,0
193,-0.345,1
194,-1.178,0
195,-0.562,0
196,-0.081,0
197,-0.478,0
198,0.041,1
199,-0.372,0
200,-0.833,1
201,-0.486,1
202,-0.597,0
203,-0.473,2
204,-0.431,0
205,-0.692,0
206,-0.468,0
207,-0.433,0
208,-0.781,0
209,-0.413,0
210,-0.285,1
211,-0.637,0
212,-0.658,0
213,-0.961,1
214,-0.889,2
215,-0.085,3
216,-0.128,0
217,-0.118,0
218,-0.41,0
219,-0.388,0
220,-0.591,0
221,-0.319,1
222,-0.634,1
223,-0.539,0
224,-0.56,0
225,-0.781,0
226,-0.544,0
227,-0.763,4
228,-0.905,0
229,-0.907,2
230,-1.347,1
231,-0.546,1
232,-0.638,1
233,-1.418,3
234,-1.123,0
235,-0.911,1
236,-0.782,2
237,-0.696,1
238,-0.756,0
239,-0.992,3
240,-0.544,1
241,-0.164,1
242,-0.694,1
243,-0.469,0
244,0.297,1
245,-0.68,1
246,-0.648,2
247,-0.75,5
248,-0.466,3
249,-0.05,0
250,-0.473,3
251,0.516,1
252,-0.329,1
253,-0.537,1
254,-0.319,0
255,-0.079,1
256,-0.228,2
257,-0.496,0
258,0.389,0
259,0.56,1
260,0.351,0
261,0.057,0
262,-0.206,0
263,-0.164,0
264,-0.287,0
265,0.293,0
266,-0.207,0
267,-0.459,0
268,-0.089,0
269,0.018,0
270,0.109,0
271,0.458,0
272,-0.481,0
273,-0.263,0
274,0.348,1
275,0.623,0
276,-0.132,0
277,-0.403,0
278,-0.493,0
279,0.128,0
280,-0.254,0
281,0.235,2
282,-0.205,0
283,0.265,0
284,0.274,0
285,0.292,0
286,0.357,0
287,0.815,0
288,-0.036,0
289,-0.014,0
290,0.245,0
291,-0.0,1
292,0.108,0
293,0.517,0
294,0.444,1
295,-0.317,2
296,-0.603,0
297,-0.98,0
298,-0.948,0
299,-0.545,0
