land,wkr,gemeinde,lam,p0,n_nbr,nbr_bsw_gt0,nbr_susp,nbr_med,ew24,pred
SH,1,"Flensburg, Stadt",30.8,2.38e-06,67,67,0,3.29,5.05,3.67
BY,248,"Rieneck, St",29.8,3.67e-06,37,37,0,3.63,4.22,3.54
SH,7,"Wedel, Stadt",28.2,4.56e-06,20,20,0,3.62,4.65,3.62
BY,241,Erlangen,27.8,4.73e-07,1506,1506,0,3.08,3.64,5.27
BY,251,Augsburg,27.0,5.28e-06,730,730,0,3.6,4.42,3.69
NI,31,"Meppen, Stadt",26.7,7.45e-06,44,44,0,2.52,3.86,3.52
RP,198,"Lahnstein, Stadt",26.6,4.54e-06,18,18,0,4.57,4.94,3.85
HE,180,"Hochheim am Main, Stadt",26.3,2.83e-06,37,37,0,4.55,4.59,4.24
HH,20,"Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel",25.8,6.71e-06,298,298,0,2.99,,3.73
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Bergedorf",25.7,3.51e-06,139,139,0,4.41,,4.2
BW,259,"Stuttgart, Landeshauptstadt (Teil)",24.9,4.38e-06,860,859,1,3.47,4.15,4.2
BY,214,Gröbenzell,23.8,1.51e-05,34,34,0,2.53,3.31,3.51
NW,127,"Tecklenburg, Stadt",22.1,5.11e-05,7,7,0,3.17,3.72,3.0
HE,175,"Friedrichsdorf, Philipp-Reis-Stadt",22.0,8.36e-06,37,37,0,3.53,3.43,4.36
NI,52,Katlenburg-Lindau,21.7,1.44e-05,28,28,0,3.62,4.9,3.98
BY,250,Veitshöchheim,21.6,1.05e-04,11,11,0,2.52,3.44,2.63
HE,180,"Eschborn, Stadt",21.1,1.46e-05,36,36,0,4.07,4.55,4.12
NI,43,"Neustadt am Rübenberge, Stadt",19.5,2.56e-05,62,62,0,3.59,3.82,4.07
HH,22,"Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil)",19.0,4.19e-05,481,480,1,4.07,,3.76
HH,21,"Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil)",19.0,6.66e-05,481,480,1,4.07,,3.38
NW,98,Reichshof,17.9,6.26e-05,78,77,0,3.91,4.53,3.71
HE,180,"Eppstein, Stadt",17.7,6.30e-05,19,19,0,3.29,3.52,3.76
BY,256,Durach,17.3,5.87e-05,11,9,1,1.92,3.2,3.96
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Harburg",17.2,5.05e-05,156,156,0,4.96,,4.17
NI,45,Ilsede,17.1,1.12e-04,52,52,0,3.81,4.2,3.43
BW,274,"Heidelberg, Stadt",16.6,1.52e-04,403,403,0,3.83,4.2,3.28
BW,281,"Freiburg im Breisgau, Stadt",16.4,1.06e-04,860,859,1,3.47,4.15,3.67
BW,281,Gottenheim,15.8,2.24e-04,2,2,0,2.69,3.45,3.16
BY,256,Durach,15.3,1.83e-04,11,9,1,1.92,3.2,3.52
BY,231,Poppenricht,15.2,5.58e-04,10,10,0,2.48,3.63,2.56
SH,10,Stapelfeld,14.3,3.09e-04,1,1,0,4.98,4.38,3.32
BY,255,"Fischach, M",13.9,4.41e-04,24,24,0,2.49,3.58,3.12
BY,244,Nürnberg (Teil),13.7,2.94e-04,822,821,1,3.72,4.45,3.6
BY,245,Schwarzenbruck,13.5,6.95e-04,20,20,0,3.16,3.56,2.8
MV,16,Neetzow-Liepen,13.3,1.94e-05,1,1,0,7.6,12.1,9.67
NI,53,Rhumspringe,13.0,8.92e-04,13,13,0,3.64,3.81,2.71
BY,222,"Bad Tölz, St",12.9,4.64e-04,59,58,0,2.97,4.55,3.41
SN,157,Reinhardtsdorf-Schöna,12.9,3.57e-05,3,3,0,7.8,12.48,8.51
NW,148,Finnentrop,12.9,2.35e-04,99,99,0,3.33,3.93,4.35
BY,215,"Kösching, M",12.8,8.91e-04,25,25,0,2.88,3.57,2.77
NI,36,Tespe,12.4,6.01e-04,5,5,0,3.95,5.15,3.34
BY,239,"Ebensfeld, M",12.2,8.37e-04,35,34,1,2.96,3.59,3.05
HE,166,Breuna,12.0,3.32e-04,23,23,0,3.99,3.94,4.4
BY,235,Frensdorf,12.0,1.11e-03,13,13,0,2.64,3.15,2.81
BY,246,"Stockstadt a.Main, M",11.1,1.16e-03,28,28,0,3.45,3.77,3.14
BY,247,"Oberelsbach, M",10.6,3.20e-04,6,5,1,2.53,3.74,6.01
NI,49,Sickte,10.1,3.88e-04,7,7,0,2.94,4.15,6.36
RP,210,Knöringen,9.5,1.05e-03,0,0,0,,6.4,4.53
BY,246,"Schöllkrippen, M",9.5,3.17e-03,14,14,0,3.05,3.77,2.68
BW,295,"Bad Saulgau, Stadt",9.4,1.18e-03,22,21,0,4.03,4.13,4.42
NW,98,"Bergneustadt, Stadt",9.4,1.37e-03,47,47,0,4.37,4.57,4.16
BY,221,Raubling,9.3,3.06e-03,17,17,0,2.64,3.89,2.84
BY,214,Bergkirchen,9.2,1.96e-03,27,27,0,2.77,3.58,3.6
BY,248,Mittelsinn,8.8,3.20e-03,25,25,0,3.34,3.68,3.08
BY,233,"Cham, St",8.7,3.38e-03,39,39,0,2.87,4.65,3.05
SH,6,Schönkirchen,8.6,2.83e-03,5,5,0,2.83,3.95,3.45
BY,230,"Regen, St",8.6,4.10e-03,20,20,0,2.32,3.82,2.83
BY,239,"Rattelsdorf, M",8.5,2.60e-03,15,15,0,3.28,4.01,3.74
BY,247,Hausen,8.5,1.81e-03,3,3,0,3.64,3.24,4.63
NW,146,"Schmallenberg, Stadt",8.5,3.91e-03,57,56,0,2.47,3.4,2.99
BY,227,"Rottenburg a.d.Laaber, St",8.3,3.96e-03,17,15,0,2.29,3.19,3.08
BY,239,"Ebensfeld, M",8.2,3.83e-03,35,34,1,2.96,3.59,3.26
BY,247,"Mellrichstadt, St",7.9,2.05e-03,13,13,0,2.52,3.65,5.19
BY,233,Gleißenberg,7.9,8.77e-03,9,9,0,3.69,3.77,2.19
TH,193,"Weida, Stadt",7.5,1.15e-03,7,7,0,9.74,15.08,9.98
BY,232,"Hemau, St",7.4,7.38e-03,20,20,0,2.55,3.16,2.7
BY,247,Untermerzbach,7.4,3.59e-03,2,2,0,2.72,2.71,4.42
NI,34,Grasberg,7.4,5.38e-03,19,19,0,4.11,4.15,3.38
BB,65,"Schönewalde, Stadt",7.3,1.07e-03,11,11,0,14.75,18.08,11.65
HE,172,"Romrod, Stadt",7.1,3.64e-03,118,118,0,5.4,5.37,4.89
HE,168,"Bebra, Stadt",7.1,3.86e-03,38,38,0,4.09,4.69,4.79
BW,295,Ratshausen,7.0,4.14e-03,1,1,0,3.46,3.62,4.8
BW,268,"Künzelsau, Stadt",6.9,5.86e-03,17,17,0,3.17,5.35,3.79
BY,247,"Oberelsbach, M",6.5,6.15e-03,6,5,1,2.53,3.74,4.42
RP,200,Sonnenberg-Winnenberg,6.5,8.68e-03,0,0,0,,1.32,3.38
BY,243,Nürnberg (Teil),6.5,6.95e-03,822,821,1,3.72,4.45,4.04
NI,38,Bad Essen,6.4,9.77e-03,41,41,0,4.15,4.92,3.19
RP,199,Wollmerath (einschl. Wagenhausen),5.9,6.92e-03,1,1,0,5.76,9.74,5.63
BY,247,"Münnerstadt, St",5.9,6.06e-03,45,44,0,2.94,3.85,6.54
RP,201,Niederstedem (einschl. Oberstedem),5.8,7.11e-03,1,1,0,3.41,7.16,5.97
RP,196,Ziegenhain,5.6,6.88e-03,1,1,0,3.07,6.25,7.43
