party,sum_abs_error,mean_abs_error,sum_sq_error,rmse,sum_true_votes,abs_error_pct_of_votes,mean_abs_error_per_row
SPD,816492.2467960507,9.483840112390679,15238485.702759003,13.304145479176698,7996171.0,0.10211040344135346,9.483840112390679
GRÜNE,685232.7080436023,7.959215128333341,11100031.053485146,11.354765671991949,5688340.0,0.12046268472763623,7.959215128333341
CDU,677990.5442934443,7.8750948891715264,11472301.23626155,11.543602146514626,10939823.0,0.061974544221916956,7.8750948891715264
Die Linke,655613.6622521859,7.61517965748883,11534200.198679013,11.574702086647049,4282063.0,0.1531069632212758,7.61517965748883
BSW,635673.7740043416,7.383570952392663,10329351.153925322,10.953492120170099,2410638.0,0.2636952433357234,7.383570952392663
AfD,561729.805817087,6.524686162836549,9201350.927325888,10.338127320080453,9973953.0,0.05631967644293962,6.524686162836549
FDP,373648.70743276284,4.340059092292786,3143368.4983753623,6.042459211970204,2103217.0,0.1776558041480089,4.340059092292786
FREIE WÄHLER,262928.8948140249,3.0540101380370634,1940432.5552863088,4.747504175718251,739500.0,0.3555495535010479,3.0540101380370634
Tierschutzpartei,243295.4232072655,2.8259605683071274,1264366.7537157666,3.83223923605433,473911.0,0.5133778772960862,2.8259605683071274
CSU,240881.1885591242,2.7979183970720523,2780553.575995421,5.683053087911972,2867147.0,0.08401424431991948,2.7979183970720523
Volt,151251.8717930651,1.756842853577702,496950.1930672965,2.402550422851561,350044.0,0.43209388474896043,1.756842853577702
Die PARTEI,134757.86974695994,1.5652593096646643,378028.04989333893,2.095453810295174,238049.0,0.5660929881955393,1.5652593096646643
dieBasis,77361.21266948731,0.8985772672515456,138734.30797648313,1.269427830294095,83669.0,0.9246102220593926,0.8985772672515456
BÜNDNIS DEUTSCHLAND,65376.94372948683,0.7593758346147402,99291.8402165629,1.0739222963013006,74178.0,0.8813522032069728,0.7593758346147402
SSW,58685.71895216208,0.6816549423549195,569755.701154358,2.572529827952816,74095.0,0.7920334564027544,0.6816549423549195
ÖDP,43752.702353076,0.5082027848149792,72939.53329961527,0.9204444201609638,48310.0,0.9056655423944524,0.5082027848149792
Team Todenhöfer,35975.608875522346,0.41786915167925787,56994.95027394615,0.813643705082952,24467.0,1.4703727010063492,0.41786915167925787
PdF,32584.929465285557,0.37848523649176535,39630.118076300976,0.6784670524207878,21290.0,1.5305274525733,0.37848523649176535
MLPD,26361.54741734136,0.3061984994986975,23436.4857544319,0.5217498400968907,19147.0,1.3767977969050693,0.3061984994986975
PIRATEN,22909.17682611271,0.2660980198867819,26432.24959312142,0.5540936109965088,13561.0,1.6893427347623855,0.2660980198867819
PdH,22211.675196560347,0.2579962969876802,18685.21052307618,0.4658703563861268,14034.0,1.5827045173550198,0.2579962969876802
Bündnis C,20932.78293795271,0.24314152065734393,28981.007143166273,0.5801934427921812,11555.0,1.8115779262615932,0.24314152065734393
BP,13762.259441470223,0.1598534078434974,14942.795029926565,0.41661221465458764,11933.0,1.1532941792902223,0.1598534078434974
MERA25,12462.021802072177,0.1447506975256081,10562.18933260179,0.3502620243181674,6970.0,1.787951478059136,0.1447506975256081
WerteUnion,11798.479025853338,0.13704341846437385,10084.398094774604,0.3422481191226216,6691.0,1.7633356786509247,0.13704341846437385
MENSCHLICHE WELT,1843.7441463860202,0.021415726556003628,1646.4518521467737,0.13828994271721776,693.0,2.660525463760491,0.021415726556003628
BüSo,1390.2292153325634,0.01614799362703778,731.3847258211663,0.09216988007172243,676.0,2.056552093687224,0.01614799362703778
SGP,938.621280592664,0.010902411120447238,493.13575247881965,0.07568317175150165,425.0,2.2085206602180327,0.010902411120447238
Verjüngungsforschung,828.6432369073007,0.009624978069149649,512.1535661103879,0.07712872989734391,303.0,2.7347961614102334,0.009624978069149649
