party,R2,Spearman,MAE_pp,RMSE_pp,Mean_share
CSU,0.9964423118737485,0.6845542593638099,0.3065362967616287,0.9078529131645465,7.177643604663591
AfD,0.9895725660347731,0.993903050516127,0.8811035655783512,1.233667790954244,22.42060924056437
CDU,0.9862624138577317,0.9876622758046006,1.0607909610882889,1.5798436386387733,21.41788800849999
GRÜNE,0.9619482950727032,0.9731436960037199,1.0097111682767552,1.35291238868527,10.756290433303858
Die Linke,0.9450919523943976,0.937211101715195,1.0111177539787402,1.3708257043457386,8.533858636670256
SSW,0.9398025912630561,0.30364540212392543,0.028733807890110017,0.23600495760462661,0.13248107659005617
SPD,0.9276165409922981,0.9642238653677004,1.2594528190533234,1.675732730986884,15.790765977908485
FREIE WÄHLER,0.877160989579951,0.8682354250376317,0.48568089453402064,0.781726177888273,1.7476704445931257
BSW,0.8084884786746018,0.8321657895505862,0.9828697188763278,1.3482227881246176,4.997071981506415
FDP,0.7014249120178035,0.816783979691678,0.7695251387127132,1.0411813666053154,4.240334837683221
Tierschutzpartei,0.5130237934005984,0.7193743514789096,0.3760797809134399,0.5354050830510005,0.9410970189543106
ÖDP,0.4988100697113451,0.659929186726943,0.08407702090317815,0.19712514775092183,0.11253172730497317
Volt,0.47875901445752245,0.6497723222704809,0.3076763417492003,0.4165085929242683,0.6672783928325647
Bündnis C,0.44412989666312597,0.38584000726717516,0.023324757179934364,0.10071107305418459,0.022999585746734167
Team Todenhöfer,0.42822567586569205,0.529735631033059,0.038783001740400384,0.11887991735490556,0.04398476494520721
MENSCHLICHE WELT,0.4053967467260656,0.10798599281256799,0.0011124940265652226,0.018453875995689602,0.0012922463062058102
dieBasis,0.38208432008912063,0.6615011177933106,0.1332239273792679,0.2323591171884486,0.17675873723606844
PdF,0.3558543722378935,0.523791086975686,0.03347460817380152,0.09309781204557942,0.03648598025524333
PIRATEN,0.322199354525073,0.4484822025535214,0.02760934785125933,0.08895558982695849,0.02701830819682906
BP,0.31800902481328863,0.42778931674965637,0.03201433346409718,0.10051563196531686,0.029433124958232717
Die PARTEI,0.2756428774727864,0.5139819784381171,0.27020456289567474,0.37648689138931873,0.47455812514612433
MERA25,0.2315447321295151,0.3338900004767829,0.01741946961803105,0.05853828084557017,0.012868618428075228
WerteUnion,0.18626929033108175,0.3308081498356168,0.01616894595507319,0.057764125108108015,0.011615951471224947
MLPD,0.13717221058895357,0.2859045850100715,0.05572728387467433,0.10736500592583931,0.03883778218279494
PdH,0.12437516896811884,0.4072288918669899,0.041014379917148285,0.09166342478562796,0.029065030651266067
Verjüngungsforschung,0.12265225442313155,0.0759460605644951,0.0007207571698298345,0.011972105697378412,0.0005436457695565112
BÜNDNIS DEUTSCHLAND,0.11060319450122624,0.328190069020063,0.15713751914863694,0.2429847229327942,0.15683406963157331
BüSo,0.08382863385305805,0.1124020393431582,0.0021655873675641255,0.01741776789500928,0.001332230169713785
SGP,0.03516058297739699,0.0762621845507791,0.0015966443872336524,0.014801951841576252,0.0008504178299342765
