land,n,obs,exp_bn,exp_bb,exc_bn,exc_bb
SH,3052,23,22.3,29.9,0.7,-6.9
HH,1998,5,0.3,1.7,4.7,3.3
NI,9696,78,42.4,60.0,35.6,18.0
HB,595,0,0.0,0.1,-0.0,-0.1
NW,16938,24,16.9,27.5,7.1,-3.5
HE,6935,61,32.5,41.6,28.5,19.4
RP,5381,105,88.8,106.4,16.2,-1.4
BW,11490,32,17.3,25.0,14.7,7.0
BY,18087,183,118.7,179.1,64.3,3.9
SL,1141,0,0.2,0.3,-0.2,-0.3
BE,3598,0,0.0,0.1,-0.0,-0.1
BB,3963,3,0.7,0.9,2.3,2.1
MV,1986,1,0.0,0.1,1.0,0.9
SN,4556,1,0.1,0.1,0.9,0.9
ST,2637,0,0.1,0.1,-0.1,-0.1
TH,2993,1,1.8,2.3,-0.8,-1.3
